"X.OG" "GENE_NAME" "human" "human.1" "cow" "cow.1" "cow.2" "marmoset" "marmoset.1" "dog" "armadillo" "gorilla" "gorilla.1" "musMusculus" "musMusculus.1" "musMusculus.2" "musMusculus.3" "musMusculus.4" "musMusculus.5" "musSpretus" "musSpretus.1" "musSpretus.2" "musCaroli" "musCaroli.1" "musCaroli.2" "musCaroli.3" "opossum" "opossum.1" "opossum.2" "ferret" "rabbit" "chimp" "chimp.1" "bonobo" "bonobo.1" "orangutan" "orangutan.1" "rhesus" "rhesus.1" "rhesus.2" "rhesus.3" "rhesus.4" "rat" "rat.1" "rat.2"
"OG10015" "OG10015" "NOL9" 262.12 304.66 178 181 736 88 63 262 320 71.33 96.57 340.13 445.24 715.56 1083.08 2550.36 1250.01 136.98 163.32 182.37 119.04 367 129.13 243.22 190.1 255.64 802.65 263 629 77.76 98.95 97.07 132.8 659.9 284.87 41.12 46 79 254 91 134 428 122
"OG10016" "OG10016" "PRKAA2" 11.04 5.49 89 77 243 2 6 93 9 11 3.01 1239.21 903.67 2485.61 1907.99 5065 5653.76 279.97 313.56 308.4 185 746.86 262.5 362.86 117.67 441.3 880 60 1457.89 14.01 21 8 0 35 9 2 2 0 12 6 499 2005.06 194.15
"OG10017" "OG10017" "KLHL21" 614.43 631.98 123 89 2109 142 127 191 235 463.99 411.93 3767.42 968.62 1707.43 1636.13 7664.86 2697.17 381.91 231.05 732.01 232.48 395.97 120.99 315.39 119.95 195.28 143 78 435 52 67 208.04 407.85 89 19 14.96 10.18 3.04 1.78 2.29 556 1824 436
"OG10020" "OG10020" "SLC45A1" 1 4 0 0 1 5 21 5 280 41 14 1.01 0 3.03 2 1 2.18 0 0 0 1 1 0 0 4 6 64.02 3 85 23.32 37 40.63 10 20 13 9 12 4 11 6 1 0 1
"OG10022" "OG10022" "AK4" 3752.45 2985.15 2518 1222.44 3856.25 119 408.07 NA 9 241.26 246.64 3177.35 664.45 3194.39 3189 6197.2 6860.3 850.22 1065.28 1085.62 337.24 1989 393.21 831.28 236.02 619.46 1010.49 179 367 275.08 444.02 347.19 348.83 719.28 218.62 171.58 107.55 203.18 828.28 146.66 841 2770.34 797
"OG10023" "OG10023" "JAK1" 902.73 1682.83 2758 3114.01 6549 2097.47 3338.96 1007.2 1598.98 2901.22 1293.93 2430.49 1681.59 3317.71 3535 11119.23 7638.04 661.91 948.12 882.38 449.92 2211.02 727 1303 329.59 379.96 340 2531.69 5053.51 815.94 1239.98 729.84 2290.87 1515.89 1085.07 1152.04 1575.09 3104.97 11582.49 3813.25 4383 17447.96 3444
"OG10024" "OG10024" "RAVER2" 10 24 3 18 23 10 21 3 0 12 4 11 14 28 9 44 37 1 1 3 5 5 1 1 59.55 127.89 209 2 2932.93 21 9 5 20 3.02 2.94 13.12 25 25 73 36 1 2 2
"OG10025" "OG10025" "CTRC" 12.36 12.47 0 0 12 0 0 66 3 0 0 0 0 0 0 0 0 0 3.22 0 0 0 6 1 0 1 2 104 2 0 0 0 0 0 0 1 1 0 0 0 5 14 4
"OG10026" "OG10026" "LZIC" 124 224 NA NA NA 147 272 220 16 202 157 104.96 91.04 130.76 216 518.01 293 65.55 88.49 71.42 60.1 80 29 47 105.48 161.5 854.6 540 829 148 166 47.94 151.8 203.33 95.52 81.46 113.18 260.5 729.86 349.3 217 742.01 234
"OG10027" "OG10027" "RBP7" 11.34 32.34 0 0 0 29 552.01 1 0 89.75 75.7 1 0 0 3 2 1 4 0 1 0 0 0 0 95.02 106.55 615 4 NA 40.72 78.98 31.43 87.78 3 0 4 4 9 28.01 12 26 38 17
"OG10029" "OG10029" "FBLIM1" 82.2 117.01 40 75 238 3 1 50 19 547.77 326.23 32.98 35 69.91 28.99 151 64 5 9 36 9 31.99 25.93 28 4.98 11 10 5 41.19 54.5 80.3 72.46 95.81 79.01 59 99.98 60.83 99.98 277.88 42.34 27 132 22
"OG1003" "OG1003" "PLEKHH3" 1458.29 685.47 88 118 633.98 160.96 189.09 116 390.06 288.44 705.6 183.93 168.1 311.95 239 1177.57 569 55 52 98 61.76 225 107 204 366.85 403.31 797.34 289 421.68 220.05 244.11 333.16 236.97 333.41 72 685.37 258.53 157.04 768.33 119.37 115 292.05 80
"OG10030" "OG10030" "TMEM82" 417.91 961.66 75 44 1034.11 779.01 968.8 268.16 229 234 180.01 674.19 335.75 634.34 968.07 2478.99 2050.11 580.27 614.72 855.89 365.67 963.31 350.55 555.46 348.46 595.7 974.19 769 747.98 188 468.48 248.8 121 345.78 151.05 NA NA NA NA NA 384.01 1323.19 320
"OG10031" "OG10031" "SLC25A34" 27.69 117.38 91.99 96.68 463.38 116 14 37 0 94.89 105.02 190.55 77 194.93 168 846.1 290 189 141.36 329.43 147.99 168 54.01 92 408.45 424.52 509 79 NA 215.11 253.1 282.24 159.24 NA NA 290.61 128.17 271.99 821.58 270.79 35 23 3
"OG10033" "OG10033" "PDPN" 3 4 0 1 1 7 3 12 18 27 1 2 5 13.66 3 34 12 0 8 14.02 4 4 1 5 0 0 0 13 13 12.26 23.61 7.95 7.41 6.9 4.37 3.62 42.7 8.88 67.96 27.94 5 39 4
"OG10034" "OG10034" "LRRC38" 1.71 0 3 5 2 0 0 0 NA 1.98 1.97 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 3.94 1.96 0 0 0 0 NA NA NA NA NA 0 0 0
"OG10035" "OG10035" "DHRS3" 8026.98 6425.26 1029 960 9248.16 2009.11 2040.22 1257.9 2210.96 3670.23 5837.38 3580.6 928.47 3717.64 3361.68 16709.75 11385.63 2287.78 3579.74 5552.3 2027.6 3920.3 1847.92 2351.37 632.14 726.19 1066.06 1547.54 467.81 1871.24 3285.24 3138.76 5337.68 5046.62 2322.73 3518.68 1366.97 1243.82 5072.01 1667.61 3543 12809.62 2551
"OG10036" "OG10036" "MATN1" 2.24 1.11 0 0 3 2 3 0 0 12.02 21.62 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 3.02 0 1 NA NA NA NA NA 0 0 1
"OG10037" "OG10037" "LAPTM5" 411.09 684.69 1905 2165 8009.82 519 429.01 901.02 892 801.88 288.99 963.54 392.87 1027.45 311 1980 441 70 124.83 83.77 27.95 200.11 100 147 379.26 536.6 1073.06 1709.99 2434 100 351.19 90.1 526.92 1092.23 806.6 655.15 1197.67 800.87 2106.05 1519.42 335 1014 238
"OG10038" "OG10038" "SDC3" 871.14 582.46 397 880.14 4500.01 381 100 322.99 255.29 762.71 667.04 2640.49 1204.78 2475.97 1208 7076.22 1724.94 215.26 302.89 455.55 186.45 745 368 432 9227.5 8676.89 24181.13 1422 941 147.25 370.6 222.05 955.16 2237.69 170 596.6 1324.02 1087 2312.43 1152 599 3613.54 468
"OG10039" "OG10039" "PEF1" 629.89 1039.84 437 639 2354 745 1036.18 221.88 513 1154.95 808.6 537.23 484.29 525.61 1137.91 4522.35 2866 423.95 592.02 724.3 368.05 1156.33 321 642.2 156.65 219.01 437 370.19 536 466.77 728.95 354.27 1108.87 733.98 770.9 1072.85 555.01 762.99 3082.66 778.08 1141 3546.81 681
"OG10040" "OG10040" "SYNC" 10.39 24.42 25 14 83 16 29.16 415.98 457.05 16 5 3.01 0 3.01 7.02 49.05 51.38 11 5 12.06 14.04 1 2 1.01 8 5 42 429 2 181.86 311.8 76 165.51 5 3 2 2 0 3 2 47.1 102.24 17
"OG10041" "OG10041" "KIAA1522" 380 282 85 191 1753 1730.6 1327.29 NA 44 82 93.99 2111.1 1605.39 2352.9 3696 15190.15 5508.07 921.63 675.32 2994.07 982.94 2119.68 1591.41 1378.49 301.46 380.9 1144.24 348 469.02 149.91 130 230.72 668.83 818.98 52.01 335.94 119.73 138.23 440.5 187.42 395 1593.99 442
"OG10042" "OG10042" "TSSK3" 12.6 38.55 6 19 184 196 229.85 52 0 29 15 5 1.03 0 0 5 2 0 0 0 1 1 0 0 7 15 18 0 2 14 46 46.81 166.67 0 0 NA NA NA NA NA 13 28 7
"OG10043" "OG10043" "TMCO4" 167.12 271 103 98 857 137 222.99 70 192 147 117.4 325.87 216.73 487.52 466 2075 976 178.81 207.92 412 110.37 281 74 134.25 57.87 79.84 155.08 147 398 43.86 53 20.38 186.95 515.14 176.6 96.71 97.68 87.32 234.5 99.67 190 513 151
"OG10046" "OG10046" "ALPL" 760.17 1752.46 576 811 3271 709 7391.64 1348.63 81 3706.28 6159.22 682.91 182.89 412.03 878.35 1153 1165.57 537.11 825.9 1564.64 377.58 45 31 21 12.55 26.11 33 128 80 512.54 926.02 486.63 1026.93 7715.32 3553.92 2332.53 1876.95 1591.1 7131.03 3436.91 329 1094.07 203
"OG10047" "OG10047" "WNT4" 45.1 34 0 0 2 0 0 25 2 35 25.16 33.77 24.08 68.46 20.65 271.93 161.11 40.8 69.1 50.1 46.59 104.57 59.65 95.58 4 8 11 1 20 7 28 3 39 16.28 8.94 NA NA NA NA NA 90.64 267.98 57
"OG10048" "OG10048" "TTLL10" 3.14 3.74 0 1 30 1 1 4 0 8 5 1 6.88 5 5 11 6 3 10 6 4 3 1 2 0 0 1 4 NA 3 3 0 1 0 1 7 6 2 8 5 8 79.01 2
"OG10050" "OG10050" "MXRA8" 123 148.99 137 102 526 NA NA 23 NA 90.04 73.76 107.03 119.3 242.88 86 638.89 392 18 25 49.6 14.9 83 46.14 78 269.17 172.85 252.11 NA NA NA NA NA NA 57 50.99 279.71 104.81 62 260 77 73 604.79 82
"OG10051" "OG10051" "MEGF6" 91 160.01 53 26 1109.18 311 185.41 309 NA 552.49 123 16 57.01 32.03 20 159 40 6 3 8 5 21 14.02 14 46.11 28 17 285.15 55.12 NA NA NA NA 1920.18 187.28 35 64.12 3 10 8 29 320.9 42
"OG10052" "OG10052" "CCDC27" 0 0 0 0 4 1 3 0 NA 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 4.35 3.96 1.05 11 NA 0 0 0 0 1 0 0 0 0 0 0 0 1 0
"OG10053" "OG10053" "IL23R" 2.62 13.07 9 3 7 3.67 24.15 4 3 8 0 0 0 1 0 0 0 0 0 0 0 0 0 0 32.77 71.26 90 5 2 17.2 17.32 16.68 31.31 4 5 7.26 15.12 24.9 95.25 17.63 0 0 0
"OG10055" "OG10055" "C1orf87" 0 0 166.37 161.02 728.52 24.96 34 0 4 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 NA 0 12 1 1 0 0 0 0 0 1 1 0 0 0 0
"OG10056" "OG10056" "NFIA" 1390.1 1911.83 1306.21 1874 6193.77 954 214.94 416 188.63 2024.28 1203.67 1257.22 608.16 1927.16 1629.21 5046.12 4599.1 580.08 830.96 1360.52 798.97 1120.06 1024.35 731.48 575.23 731.62 1082 595 2752.34 915.88 1300.34 1245.61 649.75 596.24 168.09 646.92 959.86 753 3168.13 943.93 3985.22 8465.4 1765.43
"OG10057" "OG10057" "OMA1" 112.45 273.03 189 198 494 190 458.73 98 47 145.72 154.9 236.73 148.02 320.91 428 1858.58 1155.99 168.03 201.91 311.32 115.88 321.72 109.98 270.41 93.12 91.69 448 225 178 NA NA NA NA 258.96 93.97 108 98.98 229 625.57 277 261 1148 163
"OG10059" "OG10059" "TM2D1" 111.92 165.46 163 115 379 NA NA 118 36 143.96 144.58 198.45 106.61 340.7 340.22 806.76 1086.93 181 239 215 124 120 35 92 147.08 248.53 449 228 324.16 81.22 127 70 100 282.54 159.77 80.42 132.3 270 1180.99 351 389 1201.99 311
"OG1006" "OG1006" "TFE3" 496.76 422 509 675 2771.78 93 73 688 460 362.89 354.64 485.41 423.25 618.66 835 3416.81 1541.93 188 300.06 430 212.96 871.58 480 570.02 896.07 1074.96 2065.29 759.99 363.82 55.12 80.63 159.94 300.32 1090.57 404.51 990.86 703.04 1194.85 4079.27 1113.09 181 862 245
"OG10060" "OG10060" "USP1" 60.87 236 623 335 1001 258 454.03 203 169 357.03 174.9 284.28 211.27 399.18 494.02 1211 1292 61 125 73 34 240.34 61.99 101 252.23 522.32 1170.06 418 573 142.97 142.36 87.02 293 186.74 105.69 34.2 80 225 880 348 388 877.3 289
"OG10061" "OG10061" "FUBP1" 277.04 329.59 512.51 463.28 1158 302.06 433.17 432 300.09 620.9 446.22 362.4 323.82 957.59 801 2265.07 1576.95 207.9 234.02 299.96 95 271.32 127 180 231.29 263.53 440.99 481.01 666.01 246.88 318.52 203.54 632.57 391.96 394.92 304.29 221.01 495 1744 632 335.98 1000.08 220
"OG10062" "OG10062" "NEXN" 15.42 46.01 87.99 32 63 29.63 34.01 2 8 259.3 38.04 5 14 36.11 20 57.03 75 4 0 4 0 3 1 2 10.97 10 14 24 212 48.78 104 43 84 28 38 1 6 23 80.93 20 20 31 3
"OG10063" "OG10063" "DNAJB4" 118.99 180.62 229 175 362 773 962.23 275 912 476.94 127.57 925.81 275.84 937.29 707.98 1827.01 1714 104.01 164.95 112 42.92 534 127 259.7 224.77 337.12 443.69 393 461.38 107.9 290 144.97 119 191 277.19 99.97 173.87 450.07 860.94 401.68 463.08 1170.03 217.05
"OG10066" "OG10066" "LRRC53" 0 0 NA NA NA 1 0 NA 0 2 2 NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA NA
"OG10067" "OG10067" "TYW3" 145.57 240.88 192 97 362 99 281.08 30 26 204 140.78 50.14 26.33 44.85 41.44 218.95 140.82 34.27 33.52 31.1 16.24 27.39 9.82 11.1 12 19.01 89 151 96.15 82.29 74.12 40.25 126.59 302.7 117.65 45 60 33 186 48 54 201 42
"OG10068" "OG10068" "LHX8" 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 150 29 93
"OG1007" "OG1007" "TBC1D25" 186.42 206 50 95 655.01 234.04 215 142 76 NA NA 70.26 89 129.8 150 437 256 44 74 133 60 142 71 71 85.52 167.08 170 195 414.1 NA NA NA NA 223.95 139.66 279.01 154 158 1129 239 276 1093.47 271.16
"OG10071" "OG10071" "NTNG1" 1 0 5 0 3 2 1 0 0 5 0 0 0 0 5 0 0 0 0 0 0 0 2 0 14.75 51.94 28.39 5 1 7 2 0 13 0 1 0 0 0 1 0 43 179.25 53
"OG10076" "OG10076" "WDR63" 0.96 0 0 1 1 15 26 8 0 4 0 52.14 6.99 8 3 5 10 0 0 0 0 20 14 15 42.56 101.23 17.87 5 3 3 0 0 0 0 1 3 6.97 2 11 10 0 0 0
"OG10079" "OG10079" "ZNF326" 354.93 454.3 638.77 436.07 2038.03 697 1087 436 235.98 426 299.21 268.73 165.12 397.97 388.83 1317 851 151 176.99 185.83 92 202.3 71 156 143.45 313.14 1488.06 406 1860.28 267.93 428 219.28 381.68 240.86 171.02 112.21 150 395 1028.98 400 297 818 203
"OG1008" "OG1008" "ACSL4" 143 67.98 312 329 419 860 3758 21005.65 358 610.68 741.31 1727.4 1081 2146.36 1901.49 3829 2945 901.47 921.6 824.61 555.15 571.27 177.11 291.04 2447.6 2789.45 15369.49 16059 361 95.99 256 230 1793.43 2983.31 1300.36 216.01 2303.05 431.07 3103.9 397 5659.68 13954.12 4414
"OG10081" "OG10081" "BRINP3" 0 0 0 0 0 0 0 0 0 2 3.97 0 0 0 1 0 0 0 0 0 0 0 0 0 1 2 6 275 5 3 3 0 0 0 0 0 0 0 0 0 0 1 1
"OG10082" "OG10082" "GFI1" 8 19 10 8 92 5 1 8 2 77.37 23 3 3 3 1 6 0 0 0 0 0 1 0 0 8.45 15.63 19 7 5 1 4.42 1 6.95 6.9 33.97 8.93 13 13 23 29 7 3 4
"OG10083" "OG10083" "KCNT2" 15 74 24 124.95 68 33 180 372.03 571.29 314.69 258.02 14 21 21.53 33 90 222 1 1 0 0 564.87 119 385 8 12 59 15 35 83 126 17.78 39.83 136 68 23.35 393.48 45 208 186 8 16 1
"OG10086" "OG10086" "EXTL2" 64.62 161.34 45 24 170 154 212.25 345 105 607.69 430.97 129.27 82 141.99 216 723 639 28 58.94 36 28 253.57 62 96 62.05 61.96 356 208 137 268.14 233.99 93.99 113.01 42 17 65.85 107 297 813 304 73 303.05 51
"OG10087" "OG10087" "SLC30A7" 139.76 265.3 112 117 354.52 74 47 37 46 1232.09 1059.14 440.9 402.21 570.71 817.4 2158.99 2116.6 162.52 251.22 202.97 106.23 806.75 269.69 437.66 150.84 104.26 626.04 102 272 15 22 12 93 41 28 64.8 59.3 114.78 623.43 149.16 229 805.6 201
"OG10088" "OG10088" "ZNF281" 226.66 414.84 196 205 1264 308.55 238.01 NA 175 268.9 210.58 551.3 253.55 539.69 675.97 1982 2199 120 152 137 65.88 237 99 111 142.06 270.64 1071.32 506 574.53 163.22 404.33 262.22 230.15 NA NA 158.44 332.93 802 3553.9 716 489 1658 387
"OG1009" "OG1009" "INPP5A" 436.23 388.62 183 282 645.42 476 348 258 87 215 187.97 483.98 236 556.78 508 1556.96 1360.95 158 168 187 90 953.3 383.51 632.42 8.02 19.08 2 192.82 NA 107 130.37 149.61 149 350.61 158.66 263.94 143 203 664.03 274 355 1384 252
"OG10090" "OG10090" "CADM3" 5 30.39 2 8 9 648.98 60 6 16 2 1 130.4 103 279.24 104 523 367 101 107 158 89 255.86 158.14 167 3948.01 4804.95 5232.12 85 2 51.66 3 2 1 4 4 2 3 1 15 4 43 304.61 47
"OG10092" "OG10092" "TRIM58" 6.15 13.04 0 1 0 8 4 1 0 533.08 489.23 6.84 0 2.59 0 0 0 0 0 0 0 0 1 0 4.8 3.12 2 0 195 2 3 0 0 2 21.13 2 10 0 4 8 0 1 2
"OG10093" "OG10093" "SLAMF9" 5 2 2 0 2 19 14 8 23 NA NA 9 4 19.94 2 45.98 13 3 2 2 1 2259 614 1022 6.2 18.83 23 105 1 0 0 0 1 43 6 95.35 90 48 117 184 18 25 3
"OG10094" "OG10094" "KCNJ9" 0 0 0 0 0 0 1 0 2 7.62 6 0 7 12.18 4 12 2 3 2 2 3 1 0 1 0 0 0 0 NA 1 1 0 2 0 1 NA NA NA NA NA 3.03 19 3
"OG10095" "OG10095" "IGSF8" 888.43 1470.62 113 65 1602 133.04 756.87 166 99 976.66 1061.11 203.3 211.52 247.6 231 913 539 45 27 73 25 107 38 77 109.71 93.86 70 202 1884.64 404.81 659.93 653.41 203.08 616.23 221.99 785.75 592.73 295 675 638 118 370 68
"OG10096" "OG10096" "DDR2" 57 194.73 19 36 86 14 19 11 43 158 76 81.56 76.21 277.23 81.12 417 278.96 38 59.78 51.68 28 60.12 28.64 24.71 25 26.05 32.79 60 146.04 68.03 76 78.04 52 33 7 138.1 65.12 288.03 892.96 257.46 8 59 7
"OG10097" "OG10097" "PEA15" 528.43 671.33 1022 1188 3112 783.26 622.75 7 23 2061.09 1060.1 301.71 239.96 509.62 414.99 1510 1232.54 145.98 180 293.05 157 571.24 260 375 27 44.87 24 50 63 110.24 116.06 121.68 278.23 444.96 493 14.95 34.44 0 0 18.58 220 1046.27 151
"OG10099" "OG10099" "NCSTN" 577.87 1030.87 700.34 898 3339.74 1559.89 1615.9 585.04 378.15 1057.46 842.45 949.82 697.5 1382.19 1288 5879.6 2260.43 415.68 543.59 613.66 341.15 1020.91 441.68 584.1 1000.63 1316.61 3291.49 2498.36 4463.95 428.91 991.82 412 1278.78 539.84 270.9 995.85 931.11 1040 3943.78 1312 1708 6569.36 1264
"OG10100" "OG10100" "VANGL2" 8 11 2 2 18 1 0 0 26 22.46 18.94 18.57 11.98 40.03 23.49 62 79.01 5 7.96 5 3 22 11 5 24 18 36 14 9 0.4 3 1 1 11 3 22.43 14.68 45.2 218.61 63.4 6.13 9 4.35
"OG10102" "OG10102" "OLFML2B" 7 7 26 30 137 9 10 47 12 76.03 38 7 6 8 12 40 15 5 1 23.11 2 16 10 16 46.88 46.23 90 211 172 18 83 19.14 31.74 76.02 12 1 3 4 11 3 29 253 38
"OG10103" "OG10103" "FCRLB" 18 27 0 0 8 2 1 2 9 10.33 4 0 0 0 0 3 3 3 5 11 0 7 0 9 0 0 1 0 38 9.97 10 6 23 8 3 NA NA NA NA NA 0 3 0
"OG10106" "OG10106" "KLHDC9" 40.6 96 1 0 19 6 7 3 0 69 67.9 0 1.21 0 0 38.87 28.51 9.79 6.21 21.65 9.42 14.28 3.56 0 16.52 36.05 90.17 1 0 71.99 54 43 32 95 51 38.8 15.91 24.36 47.93 17.02 3.07 13.23 3.05
"OG10107" "OG10107" "C1orf74" 22 32 38 64 305 54 78 45 0 31 31 171.76 53.79 139.93 157.94 554.22 644.78 50.62 74.02 34.62 13.75 156.89 33.02 79.67 13.05 2.73 15.85 21 29 29.11 18 7 42 NA NA 64.43 49.88 82.24 240.41 130.18 166.49 517.68 91.23
"OG10108" "OG10108" "LMX1A" 0 1 0 0 0 250.01 139 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 70 17 14.05 3 NA NA 13 4 16 94 10 0 0 0
"OG10109" "OG10109" "LRRC52" 0 0 0 0 1 6 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 44.18 1 0 0 0 2 4 0 0 0 0 0 0 10 0
"OG1011" "OG1011" "GRIPAP1" 531.35 622.77 795 692 3938.31 291 288 267 341 388.91 384.99 620.93 383.88 767.01 816 3246.38 1342.99 172 257 318 163 582.12 162 238.97 740.05 1010.56 1031.72 668 834.65 NA NA NA NA 671.15 277 560.41 476.23 634 3020 641.04 738.97 2350.71 473
"OG10110" "OG10110" "FLVCR1" 51.06 49.36 21 19 93 50 31 221.44 947.19 29 17 76 57.15 61.58 60 233.94 365.99 7.52 19 13 20 70 13.75 27.51 130.83 160.73 682 92.76 109.99 24 16 14 119.01 186.43 108.24 16 15.71 21 84 18 18 63 17
"OG10112" "OG10112" "RBM15" 135.65 86 87 133 627 73 108 73 50 211.68 127.71 387.97 196.97 528.29 315 1010 609 80 70 78 47 140 58 83 13.39 23.58 21 116 505 105.01 135.83 118.79 147.87 101 92 57 63.24 41 362 89 168 704.88 136
"OG10113" "OG10113" "DENND2D" 184.01 289.93 101 141 364 205 304 297 477 243.01 79 98.27 57.53 195.28 160.76 595.13 536.2 367.66 527.91 394.92 260.56 361.49 71.07 132.03 123.42 212.75 436 319 711.52 75 123 16.74 117.63 204.22 91.6 NA NA NA NA NA 65 119 34
"OG10114" "OG10114" "AXDND1" 0 1 0 1 1 4 3 0 0 60 60.76 7.06 6 5.55 4.4 10 19.19 19.04 19 17 15.19 2 8.65 6 0 0 7 3 5 5.45 7.01 4 1 0 1 1 3 7 0 2 0 1 0
